Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,name_length,title,title_group,family_size,is_alone,ticket_group_size,fare_per_person,age_fare_ratio,cabin_deck,cabin_room_number,cabin_score,name_word_count,Survived
1,female,35.0,1,0,90.0,S,47,Mrs,Mrs,2,0,2,45.0,0.3888888888888889,C,93.0,9.173135754622429,7,1
2,male,19.0,0,0,10.5,S,31,Mr,Mr,1,1,1,10.5,1.809523809523809,Unknown,,9.06472110964547,4,0
2,male,34.0,0,0,13.0,S,28,Mr,Mr,1,1,1,13.0,2.6153846153846154,Unknown,,2.131047040250833,4,0
3,female,4.0,0,2,22.025,S,35,Miss,Miss,3,0,1,22.025,0.1816118047673099,Unknown,,1.1483682473920354,4,1
2,female,21.0,0,0,10.5,S,17,Miss,Miss,1,1,1,10.5,2.0,Unknown,,3.922440450997323,3,1
1,male,19.0,1,0,53.1,S,25,Mr,Mr,2,0,1,53.1,0.3578154425612053,D,30.0,0.6420893707513409,4,0
3,female,41.0,0,5,39.6875,S,38,Mrs,Mrs,6,0,6,6.615,1.0330708661417325,Unknown,,8.505817290942419,6,0
3,male,30.0,1,0,16.1,S,24,Mr,Mr,2,0,2,8.05,1.8633540372670805,Unknown,,7.43946292572677,4,0
3,female,,0,2,15.2458,C,29,Mrs,Mrs,3,0,2,7.623,0.0,Unknown,,0.8692028808742369,4,0
2,male,57.0,0,0,12.35,Q,30,Rev,Other,1,1,1,12.35,4.615384615384616,Unknown,,8.512069140487688,4,0
2,male,24.0,0,0,10.5,S,33,Mr,Mr,1,1,1,10.5,2.2857142857142856,Unknown,,2.322126951468173,5,0
3,male,61.0,0,0,6.2375,S,25,Mr,Mr,1,1,1,6.238,9.779559118236474,Unknown,,9.148459010681,4,0
3,female,38.0,1,5,31.3875,S,57,Mrs,Mrs,7,0,4,7.847,1.210673038630028,Unknown,,9.44765729882428,8,1
3,male,21.0,0,0,8.4333,S,30,Mr,Mr,1,1,1,8.433,2.490128419479919,Unknown,,3.351188542591419,4,0
1,male,49.0,1,0,89.1042,C,24,Mr,Mr,2,0,2,44.552,0.5499179612184386,C,92.0,3.8929561404197655,4,1
1,male,32.0,0,0,30.5,C,25,Dr,Other,1,1,1,30.5,1.0491803278688523,B,50.0,6.780161525590636,3,1
2,male,30.0,0,0,13.0,S,26,Mr,Mr,1,1,1,13.0,2.3076923076923075,Unknown,,6.334782198261473,4,0
3,female,,3,1,25.4667,S,18,Miss,Miss,5,0,4,6.367,0.0,Unknown,,1.4011317576645257,3,0
3,male,17.0,0,0,8.6625,S,19,Mr,Mr,1,1,1,8.662,1.9624819624819625,Unknown,,4.866689414247029,3,0
2,male,52.0,0,0,13.5,S,26,Mr,Mr,1,1,1,13.5,3.851851851851852,Unknown,,7.704074178077932,4,0
2,male,,0,0,15.05,C,16,Mr,Mr,1,1,1,15.05,0.0,Unknown,,4.254364386164168,3,0
3,male,19.0,0,0,7.775,S,27,Mr,Mr,1,1,1,7.775,2.443729903536977,Unknown,,2.4317219099945406,4,0
3,male,32.0,0,0,7.75,Q,19,Mr,Mr,1,1,1,7.75,4.129032258064516,Unknown,,1.6704190790094986,3,0
3,male,,0,0,7.225,C,23,Mr,Mr,1,1,1,7.225,0.0,Unknown,,8.496473906774115,4,0
3,male,44.0,0,0,7.925,S,25,Mr,Mr,1,1,1,7.925,5.55205047318612,Unknown,,4.252135044692334,4,1
2,male,32.5,1,0,30.0708,C,20,Mr,Mr,2,0,2,15.035,1.0807826861939158,Unknown,,5.116774421156661,3,0
2,female,34.0,0,0,10.5,S,28,Mrs,Mrs,1,1,1,10.5,3.238095238095238,F,33.0,8.620426509893134,4,1
3,male,,0,0,7.225,C,17,Mr,Mr,1,1,1,7.225,0.0,Unknown,,6.960206180537922,3,0
3,female,,2,0,23.25,Q,18,Miss,Miss,3,0,2,11.625,0.0,Unknown,,0.1309445658833363,3,1
3,male,,0,0,7.8958,S,21,Mr,Mr,1,1,1,7.896,0.0,Unknown,,8.32134177957742,3,0
3,female,1.0,1,1,11.1333,S,28,Miss,Miss,3,0,3,3.711,0.0898206282054736,Unknown,,1.7088758739006582,4,1
1,female,36.0,0,2,71.0,S,23,Miss,Miss,3,0,2,35.5,0.5070422535211268,B,22.0,8.747016726841995,4,1
1,female,35.0,0,0,512.3292,C,16,Miss,Miss,1,1,3,170.776,0.0683154503003147,Unknown,,3.4208174871590744,3,1
3,female,,0,0,7.225,C,23,Mrs,Mrs,1,1,1,7.225,0.0,Unknown,,8.647223762550531,3,1
1,male,52.0,0,0,30.5,S,30,Major,Other,1,1,1,30.5,1.7049180327868851,C,104.0,7.380336164263705,4,1
1,female,30.0,0,0,86.5,S,20,Miss,Miss,1,1,3,28.833,0.3468208092485549,B,77.0,8.767656367617494,3,1
1,female,,0,0,79.2,C,30,Mrs,Mrs,1,1,1,79.2,0.0,Unknown,,7.624586857406905,4,1
1,female,42.0,0,0,227.525,C,21,Miss,Miss,1,1,4,56.881,0.184595099439622,Unknown,,7.222669318556591,3,1
3,male,26.0,0,0,56.4958,S,14,Mr,Mr,1,1,7,8.071,0.4602112015406455,Unknown,,0.3394597858579884,3,1
3,female,18.0,0,0,7.4958,S,25,Miss,Miss,1,1,1,7.496,2.4013447530617147,Unknown,,1.6748258225906976,4,1
2,male,30.0,0,0,13.0,S,18,Mr,Mr,1,1,1,13.0,2.3076923076923075,Unknown,,7.694929331919369,3,0
3,male,23.0,0,0,7.8958,S,18,Mr,Mr,1,1,1,7.896,2.912941057270954,Unknown,,4.552201490818012,3,0
1,female,47.0,1,1,52.5542,S,48,Mrs,Mrs,3,0,2,26.277,0.894314821650791,D,35.0,3.910815366517607,6,1
2,female,40.0,0,0,13.0,S,25,Miss,Miss,1,1,1,13.0,3.076923076923077,Unknown,,0.3654966784809488,4,1
1,male,56.0,0,0,30.6958,C,23,Mr,Mr,1,1,1,30.696,1.8243538203923664,A,7.0,9.293759891275858,4,0
3,female,18.0,0,0,6.75,Q,28,Miss,Miss,1,1,1,6.75,2.6666666666666665,Unknown,,1.607598960483082,4,0
3,male,,0,0,7.8958,S,18,Mr,Mr,1,1,1,7.896,0.0,Unknown,,6.166503145207381,3,0
1,female,23.0,1,0,113.275,C,22,Miss,Miss,2,0,3,37.758,0.2030456852791878,D,36.0,5.830415609696922,3,1
2,female,33.0,0,2,26.0,S,45,Mrs,Mrs,3,0,2,13.0,1.2692307692307692,Unknown,,1.8057534512733355,6,1
1,male,36.0,0,0,40.125,C,19,Mr,Mr,1,1,1,40.125,0.897196261682243,A,10.0,5.126885110165086,4,0
3,male,22.0,0,0,8.05,S,21,Mr,Mr,1,1,1,8.05,2.732919254658385,Unknown,,7.795844735667533,3,0
2,male,51.0,0,0,12.525,S,26,Rev,Other,1,1,1,12.525,4.07185628742515,Unknown,,3.5609672589784624,4,0
1,female,35.0,1,0,83.475,S,44,Mrs,Mrs,2,0,2,41.738,0.4192872117400419,C,83.0,4.626797856696064,6,1
3,female,,0,0,7.8792,Q,29,Miss,Miss,1,1,1,7.879,0.0,Unknown,,4.505441353100935,4,1
2,male,,0,0,0.0,S,32,Mr,Mr,1,1,1,0.0,0.0,Unknown,,6.946964708544268,5,0
3,male,,0,0,7.2292,C,16,Mr,Mr,1,1,1,7.229,0.0,Unknown,,1.1355759219962902,3,1
3,female,17.0,0,0,14.4583,C,21,Miss,Miss,1,1,2,7.229,1.1757952179716842,Unknown,,6.18254771530296,3,0
1,male,,0,0,29.7,C,20,Mr,Mr,1,1,1,29.7,0.0,C,47.0,0.4010919141248248,3,1
3,male,32.0,0,0,7.925,S,18,Mr,Mr,1,1,1,7.925,4.037854889589905,Unknown,,8.302198645669916,3,0
3,male,31.0,0,0,7.925,S,18,Mr,Mr,1,1,1,7.925,3.911671924290221,Unknown,,6.855652872289713,3,1
3,male,22.0,0,0,7.7958,S,19,Mr,Mr,1,1,1,7.796,2.822032376407809,Unknown,,8.926717110769749,3,0
1,female,39.0,1,1,110.8833,C,52,Mrs,Mrs,3,0,4,27.721,0.3517211338407136,C,68.0,6.496466489923685,7,1
3,female,,0,0,7.75,Q,18,Miss,Miss,1,1,1,7.75,0.0,Unknown,,7.972953657795536,3,0
3,male,29.0,0,0,9.5,S,27,Mr,Mr,1,1,1,9.5,3.0526315789473686,Unknown,,6.4087474480321465,4,1
2,male,29.0,1,0,27.7208,C,25,Mr,Mr,2,0,1,27.721,1.046145854376497,Unknown,,2.707446731435538,4,0
2,male,0.83,1,1,18.75,S,31,Master,Master,3,0,3,6.25,0.0442666666666666,Unknown,,4.626229567393163,4,1
2,female,24.0,1,2,65.0,S,19,Miss,Miss,4,0,2,32.5,0.3692307692307692,Unknown,,5.5085737060913935,3,1
2,male,47.0,0,0,15.0,S,23,Mr,Mr,1,1,1,15.0,3.1333333333333333,Unknown,,2.204862090701753,4,0
1,male,26.0,0,0,30.0,C,21,Mr,Mr,1,1,1,30.0,0.8666666666666667,C,148.0,7.067772168854458,4,1
3,female,30.5,0,0,7.75,Q,18,Miss,Miss,1,1,1,7.75,3.935483870967742,Unknown,,9.866625932671464,3,0
2,male,36.5,0,2,26.0,S,40,Mr,Mr,3,0,3,8.667,1.4038461538461535,F,2.0,6.459172413316012,6,0
3,female,4.0,1,1,16.7,S,31,Miss,Miss,3,0,2,8.35,0.2395209580838323,G,6.0,5.941307153521351,4,1
2,female,5.0,1,2,27.75,S,28,Miss,Miss,4,0,3,9.25,0.1801801801801801,Unknown,,9.041586944937483,4,1
2,male,1.0,2,1,39.0,S,25,Master,Master,4,0,2,19.5,0.0256410256410256,F,4.0,2.4240973241508024,4,1
2,male,26.0,0,0,10.5,S,19,Mr,Mr,1,1,1,10.5,2.4761904761904763,Unknown,,2.5975378376032623,3,0
3,male,18.0,1,1,7.8542,S,22,Mr,Mr,3,0,1,7.854,2.2917674619948563,Unknown,,5.567628930139298,4,0
3,male,26.0,1,0,7.8542,S,23,Mr,Mr,2,0,1,7.854,3.310330778437015,Unknown,,6.936822257814886,4,0
1,male,27.0,1,0,53.1,S,29,Mr,Mr,2,0,2,26.55,0.5084745762711864,E,8.0,6.5166682537588505,4,1
3,male,10.0,3,2,27.9,S,28,Master,Master,6,0,6,4.65,0.3584229390681003,Unknown,,4.98195716453139,4,0
1,male,51.0,0,1,61.3792,C,27,Mr,Mr,2,0,1,61.379,0.8309003701579689,Unknown,,1.5285913918433205,4,0
3,male,39.0,0,0,7.925,S,18,Mr,Mr,1,1,1,7.925,4.921135646687698,Unknown,,5.902949425148077,3,1
2,male,36.0,0,0,13.0,S,23,Mr,Mr,1,1,1,13.0,2.769230769230769,Unknown,,2.051396404820072,4,0
2,male,1.0,0,2,37.0042,C,21,Master,Master,3,0,2,18.502,0.0270239594424416,Unknown,,6.802282424312914,3,1
1,male,,0,0,0.0,S,29,Mr,Mr,1,1,1,0.0,0.0,Unknown,,5.657319639957911,5,0
3,male,,0,0,7.725,Q,18,Mr,Mr,1,1,1,7.725,0.0,Unknown,,4.963662472012364,3,0
3,male,14.0,4,1,39.6875,S,24,Mr,Mr,6,0,6,6.615,0.352755905511811,Unknown,,9.734889691773969,4,0
1,male,48.0,0,0,26.55,S,19,Mr,Mr,1,1,1,26.55,1.807909604519774,E,12.0,6.636711653626481,3,1
3,male,,1,2,23.45,S,22,Mr,Mr,4,0,2,11.725,0.0,Unknown,,6.894649691372657,4,0
1,female,18.0,2,2,262.375,C,26,Miss,Miss,5,0,2,131.188,0.0686040971891376,B,57.0,0.0463202300460285,4,1
3,male,,8,2,69.55,S,26,Master,Master,11,0,7,9.936,0.0,Unknown,,2.850951686938471,4,0
3,male,1.0,1,2,20.575,S,26,Master,Master,4,0,2,10.288,0.048602673147023,Unknown,,6.364302495436367,4,1
3,female,,0,0,7.8792,Q,33,Miss,Miss,1,1,1,7.879,0.0,Unknown,,9.461154621336329,5,1
3,male,51.0,0,0,7.75,S,32,Mr,Mr,1,1,1,7.75,6.580645161290323,Unknown,,2.9446575954191765,4,0
1,male,,0,0,25.925,S,19,Mr,Mr,1,1,1,25.925,0.0,Unknown,,9.69470433275369,4,0
2,female,28.0,0,0,13.0,S,17,Miss,Miss,1,1,1,13.0,2.1538461538461537,Unknown,,8.78629986355158,3,1
2,female,24.0,2,1,27.0,S,51,Mrs,Mrs,4,0,2,13.5,0.8888888888888888,Unknown,,8.158331249906178,7,1
3,male,32.0,0,0,7.8542,S,17,Mr,Mr,1,1,1,7.854,4.0742532657686334,Unknown,,9.499611839502254,3,1
1,female,35.0,0,0,135.6333,S,22,Miss,Miss,1,1,3,45.211,0.2580487240227879,C,99.0,6.411476328852973,3,1
1,male,71.0,0,0,34.6542,C,25,Mr,Mr,1,1,1,34.654,2.048813708006533,A,5.0,2.063337184057925,4,0
2,female,50.0,0,0,10.5,S,20,Miss,Miss,1,1,1,10.5,4.761904761904762,Unknown,,3.3987496376806616,3,1
3,female,22.0,0,0,9.8375,S,27,Miss,Miss,1,1,1,9.838,2.236340533672173,Unknown,,7.281887562036033,4,0
3,male,7.0,4,1,29.125,Q,18,Master,Master,6,0,5,5.825,0.2403433476394849,Unknown,,4.620058036441327,3,0
2,male,30.0,1,0,24.0,C,19,Mr,Mr,2,0,2,12.0,1.25,Unknown,,0.5476163882203133,3,0
3,male,34.0,1,1,14.4,S,25,Mr,Mr,3,0,2,7.2,2.361111111111111,Unknown,,0.8698675991141014,4,0
3,female,,0,0,7.8792,Q,20,Miss,Miss,1,1,1,7.879,0.0,Unknown,,8.617856210135173,3,1
3,male,43.0,0,0,8.05,S,15,Mr,Mr,1,1,1,8.05,5.341614906832298,Unknown,,7.61027902502028,3,0
1,male,60.0,0,0,26.55,S,15,Col,Other,1,1,1,26.55,2.2598870056497176,Unknown,,4.886431904046658,3,0
3,female,1.0,0,2,15.7417,C,27,Miss,Miss,3,0,2,7.871,0.0635255404435353,Unknown,,8.556964681062858,4,1
3,female,29.0,0,2,15.2458,C,39,Mrs,Mrs,3,0,1,15.246,1.9021632187225332,Unknown,,5.698896848713165,6,1
3,male,48.0,0,0,7.8542,S,23,Mr,Mr,1,1,1,7.854,6.111379898652951,Unknown,,7.024649705441039,4,0
3,male,43.0,0,0,6.45,S,32,Mr,Mr,1,1,1,6.45,6.666666666666666,Unknown,,6.587077755008761,5,0
1,male,24.0,0,1,247.5208,C,24,Mr,Mr,2,0,2,123.76,0.0969615482820029,B,58.0,0.366832028905979,4,0
2,male,59.0,0,0,13.5,S,25,Mr,Mr,1,1,1,13.5,4.37037037037037,Unknown,,7.476093801762511,4,0
3,female,39.0,1,5,31.275,S,57,Mrs,Mrs,7,0,7,4.468,1.2470023980815348,Unknown,,8.887480798689772,7,0
1,male,17.0,0,2,110.8833,C,27,Mr,Mr,3,0,4,27.721,0.1533143403921059,C,70.0,8.736771141863388,5,1
3,female,31.0,1,0,18.0,S,55,Mrs,Mrs,2,0,1,18.0,1.7222222222222223,Unknown,,0.5637549665092711,7,0
3,female,6.0,4,2,31.275,S,34,Miss,Miss,7,0,7,4.468,0.1918465227817745,Unknown,,2.192139873580443,5,0
3,male,38.0,0,0,7.8958,S,15,Mr,Mr,1,1,1,7.896,4.812685225056359,Unknown,,8.062012797930613,3,0
3,male,20.0,0,0,9.8458,S,29,Mr,Mr,1,1,2,4.923,2.0313230006703367,Unknown,,7.734731256866007,4,0
1,male,,0,0,0.0,S,16,Mr,Mr,1,1,1,0.0,0.0,B,102.0,3.3689579177110685,3,0
1,female,,0,0,110.8833,C,23,Miss,Miss,1,1,4,27.721,0.0,Unknown,,5.912754357449293,3,1
3,male,30.0,0,0,7.25,S,30,Mr,Mr,1,1,1,7.25,4.137931034482759,Unknown,,1.5615259736619036,5,0
2,male,0.83,0,2,29.0,S,29,Master,Master,3,0,2,14.5,0.0286206896551724,Unknown,,1.2804583895777244,4,1
3,male,19.0,0,0,14.5,S,20,Mr,Mr,1,1,2,7.25,1.3103448275862069,Unknown,,4.674015112498697,3,0
3,male,3.0,1,1,15.9,S,38,Master,Master,3,0,2,7.95,0.1886792452830188,Unknown,,5.648411332626164,5,1
2,male,39.0,0,0,26.0,S,46,Mr,Mr,1,1,2,13.0,1.5,Unknown,,2.207696127887604,7,0
2,male,50.0,0,0,13.0,S,23,Mr,Mr,1,1,1,13.0,3.8461538461538463,Unknown,,0.3113408288451136,4,0
3,female,,0,0,8.05,S,39,Mrs,Mrs,1,1,1,8.05,0.0,Unknown,,0.2246930832011739,6,0
2,female,28.0,1,0,24.0,C,37,Mrs,Mrs,2,0,2,12.0,1.1666666666666667,Unknown,,6.567366645412922,5,1
3,female,33.0,3,0,15.85,S,55,Mrs,Mrs,4,0,2,7.925,2.082018927444795,Unknown,,4.739616402628723,7,1
3,female,,0,0,7.75,Q,19,Miss,Miss,1,1,1,7.75,0.0,Unknown,,0.2709599250348349,3,1
1,male,,0,0,221.7792,S,18,Mr,Mr,1,1,1,221.779,0.0,C,95.0,7.247667715287615,3,0
3,male,,0,0,8.4583,Q,16,Mr,Mr,1,1,1,8.458,0.0,Unknown,,0.26366974497252,3,0
1,male,50.0,1,0,55.9,S,25,Mr,Mr,2,0,2,27.95,0.8944543828264758,E,44.0,2.064212717606032,4,0
1,male,28.0,1,0,82.1708,C,23,Mr,Mr,2,0,2,41.085,0.3407536497149839,Unknown,,6.181282404578958,4,0
3,female,,0,0,7.55,S,28,Miss,Miss,1,1,1,7.55,0.0,Unknown,,8.995745732745684,4,0
3,male,16.0,1,3,34.375,S,22,Mr,Mr,5,0,4,8.594,0.4654545454545454,Unknown,,6.675577385210271,4,0
3,male,,0,0,7.775,S,26,Mr,Mr,1,1,1,7.775,0.0,Unknown,,1.069806388269584,4,0
3,male,2.0,3,1,21.075,S,30,Master,Master,5,0,4,5.269,0.0948991696322657,Unknown,,8.105533307818328,4,0
1,male,64.0,0,0,26.0,S,28,Mr,Mr,1,1,1,26.0,2.4615384615384617,Unknown,,3.507118154517101,4,0
3,male,26.0,1,2,20.575,S,23,Mr,Mr,4,0,2,10.288,1.2636695018226003,Unknown,,0.8870253375705561,4,0
3,female,24.0,0,2,16.7,S,51,Mrs,Mrs,3,0,2,8.35,1.437125748502994,G,6.0,4.214245505924979,6,1
3,male,19.0,0,0,0.0,S,31,Mr,Mr,1,1,4,0.0,0.0,Unknown,,1.2466268120326685,5,0
3,female,23.0,0,0,7.925,S,28,Miss,Miss,1,1,1,7.925,2.9022082018927446,Unknown,,1.8211791568869928,4,0
1,female,58.0,0,1,153.4625,S,45,Mrs,Mrs,2,0,3,51.154,0.3779424940946485,C,125.0,7.200365365460744,6,1
3,female,,0,0,7.7375,Q,24,Miss,Miss,1,1,1,7.738,0.0,Unknown,,4.732099066915572,3,1
3,male,,0,0,56.4958,S,12,Mr,Mr,1,1,7,8.071,0.0,Unknown,,0.2212355152899725,3,1
2,male,3.0,1,1,18.75,S,30,Master,Master,3,0,3,6.25,0.16,Unknown,,9.484533069621566,4,1
3,male,47.0,0,0,9.0,S,27,Mr,Mr,1,1,1,9.0,5.222222222222222,Unknown,,2.5813343270112754,4,0
3,male,21.0,0,0,8.05,S,26,Mr,Mr,1,1,1,8.05,2.6086956521739126,Unknown,,8.065611478614498,4,0
3,female,20.0,1,0,9.825,S,23,Miss,Miss,2,0,1,9.825,2.035623409669211,Unknown,,4.845229851910213,3,0
1,female,38.0,1,0,71.2833,C,51,Mrs,Mrs,2,0,1,71.283,0.5330841866187452,C,85.0,4.182430362906189,7,1
3,male,32.0,0,0,8.3625,S,32,Mr,Mr,1,1,1,8.362,3.82660687593423,Unknown,,4.988881534513561,4,0
1,female,39.0,1,0,55.9,S,41,Mrs,Mrs,2,0,2,27.95,0.6976744186046512,E,44.0,1.6703394609207525,6,1
2,male,30.0,0,0,13.0,S,27,Mr,Mr,1,1,1,13.0,2.3076923076923075,Unknown,,7.4112064929005905,4,0
3,male,33.0,0,0,7.8958,C,20,Mr,Mr,1,1,1,7.896,4.17943716912789,Unknown,,0.2007119777772636,3,0
3,female,5.0,0,0,12.475,S,29,Miss,Miss,1,1,2,6.238,0.4008016032064128,Unknown,,3.506269312091808,4,1
2,male,31.0,0,0,13.0,S,21,Mr,Mr,1,1,1,13.0,2.3846153846153846,Unknown,,9.320281055100176,3,1
3,male,16.0,4,1,39.6875,S,25,Mr,Mr,6,0,6,6.615,0.4031496062992126,Unknown,,2.292513952326414,4,0
2,male,28.0,0,1,33.0,S,17,Rev,Other,2,0,3,11.0,0.8484848484848485,Unknown,,2.768277972350516,3,0
2,male,66.0,0,0,10.5,S,21,Mr,Mr,1,1,1,10.5,6.285714285714286,Unknown,,6.717006844058568,4,0
1,male,22.0,0,0,135.6333,C,19,Mr,Mr,1,1,3,45.211,0.1622020551000381,Unknown,,1.0410858198457384,3,0
2,female,42.0,1,0,26.0,S,51,Mrs,Mrs,2,0,1,26.0,1.6153846153846154,Unknown,,6.514203883518642,7,1
3,female,16.0,0,0,7.75,Q,25,Miss,Miss,1,1,1,7.75,2.064516129032258,Unknown,,1.2429722348554473,4,1
